馬番,単勝オッズ
1,4.3
2,3.0
3,38.2
4,15.5
5,92.8
6,96.3
7,79.8
8,90.6
9,14.4
10,45.5
11,7.1
12,51.0
13,36.5
14,32.7
15,185.6
16,4.1
