race_horse_id,score
202602281001110101,426.17
202602281001110102,363.56
202602281001110103,337.24
202602281001110104,465.13
202602281001110105,612.01
202602281001110106,371.38
202602281001110107,341.94
202602281001110108,579.85
202602281001110109,539.22
202602281001110110,539.12
202602281001110111,371.23
202602281001110112,330.24
202602281001110113,280.63
202602281001110114,282.62
202602281001110115,331.54
202602281001110116,423.37
202603070901050101,426.74
202603070901050102,458.46
202603070901050103,440.98
202603070901050104,342.99
202603070901050105,366.81
202603070901050106,389.17
202603070901050107,425.81
202603070901050108,324.8
202603070901050109,463.39
202603070901050110,406.5
202603070901050111,358.58
202603070901050112,400.03
202603070901050113,371.26
202603070901050114,424.46
202603070602030101,422.19
202603070602030102,268.44
202603070602030103,470.29
202603070602030104,471.13
202603070602030105,392.55
202603070602030106,406.69
202603070602030107,382.03
202603070602030108,432.23
202603070602030109,300.63
202603070602030110,423.0
202603070602030111,299.68
202603070602030112,438.73
202603070602030113,433.94
202603070602030114,446.42
202603070602030115,365.64
202603070602030116,446.4
202603070901050201,367.42
202603070901050202,395.68
202603070901050203,381.14
202603070901050204,433.67
202603070901050205,388.05
202603070901050206,434.72
202603070901050207,322.85
202603070901050208,462.45
202603070901050209,199.13
202603070901050210,391.33
202603070901050211,455.11
202603070901050212,432.51
202603070901050213,401.6
202603070901050214,504.36
202603070901050215,401.42
202603070901050216,428.56
202603070602030201,450.4
202603070602030202,482.65
202603070602030203,291.76
202603070602030204,421.87
202603070602030205,431.2
202603070602030206,477.99
202603070602030207,341.7
202603070602030208,457.28
202603070602030209,371.32
202603070602030210,423.23
202603070602030211,284.24
202603070602030212,410.31
202603070602030213,336.3
202603070602030214,392.21
202603070602030215,427.53
202603070901050301,430.59
202603070901050302,440.67
202603070901050303,435.51
202603070901050304,342.99
202603070901050305,473.81
202603070901050306,462.65
202603070901050307,436.78
202603070901050308,314.05
202603070901050309,396.51
202603070901050310,438.44
202603070901050311,298.23
202603070901050312,377.39
202603070901050313,352.37
202603070602030301,445.56
202603070602030302,404.89
202603070602030303,334.34
202603070602030304,302.97
202603070602030305,444.68
202603070602030306,378.43
202603070602030307,422.36
202603070602030308,378.63
202603070602030309,422.39
202603070602030310,469.68
202603070602030311,457.73
202603070602030312,373.41
202603070602030313,363.35
202603070602030314,395.84
202603070602030315,363.51
202603070602030316,442.24
202603070901050401,239.18
202603070901050402,462.35
202603070901050403,433.87
202603070901050404,449.64
202603070901050405,370.35
202603070901050406,437.47
202603070901050407,451.13
202603070901050408,410.19
202603070901050409,385.24
202603070901050410,438.81
202603070901050411,317.15
202603070901050412,419.78
202603070901050413,384.86
202603070602030401,396.76
202603070602030402,397.76
202603070602030403,468.39
202603070602030404,453.6
202603070602030405,469.49
202603070602030406,423.84
202603070602030407,422.98
202603070602030408,421.77
202603070602030409,324.59
202603070602030410,434.75
202603070602030411,435.86
202603070602030412,423.28
202603070602030413,201.71
202603070602030414,325.23
202603070901050501,392.67
202603070901050502,414.11
202603070901050503,474.48
202603070901050504,360.13
202603070901050505,514.27
202603070901050506,448.51
202603070901050507,411.68
202603070901050508,399.56
202603070901050509,376.45
202603070901050510,367.77
202603070901050511,321.11
202603070901050512,398.77
202603070901050513,344.78
202603070901050514,382.63
202603070901050515,386.51
202603070901050516,333.03
202603070901050517,471.41
202603070901050518,402.14
202603070602030501,325.11
202603070602030502,410.83
202603070602030503,214.91
202603070602030504,418.08
202603070602030505,387.29
202603070602030506,401.68
202603070602030507,334.61
202603070602030508,404.57
202603070602030509,506.49
202603070602030510,476.25
202603070602030511,431.24
202603070602030512,355.1
202603070602030513,438.68
202603070602030514,399.45
202603070602030515,429.73
202603070602030516,438.75
202603070602030517,392.23
202603070602030518,434.99
202603070901050601,419.14
202603070901050602,419.69
202603070901050603,356.92
202603070901050604,259.73
202603070901050605,424.93
202603070901050606,391.8
202603070901050607,366.47
202603070901050608,475.58
202603070901050609,488.99
202603070901050610,475.31
202603070901050611,313.54
202603070901050612,407.89
202603070602030601,365.69
202603070602030602,426.97
202603070602030603,384.28
202603070602030604,382.62
202603070602030605,486.76
202603070602030606,399.3
202603070602030607,338.12
202603070602030608,471.44
202603070602030609,457.43
202603070602030610,448.16
202603070602030611,464.16
202603070602030612,355.26
202603070602030613,453.55
202603070602030614,414.6
202603070602030615,322.73
202603070602030616,355.4
202603070602030617,358.08
202603070602030618,315.44
202603070901050701,483.28
202603070901050702,423.6
202603070901050703,345.15
202603070901050704,417.47
202603070901050705,357.72
202603070901050706,370.98
202603070901050707,411.09
202603070901050708,390.72
202603070602030701,352.65
202603070602030702,387.06
202603070602030703,448.42
202603070602030704,358.15
202603070602030705,449.05
202603070602030706,482.98
202603070602030707,345.4
202603070602030708,381.5
202603070602030709,447.12
202603070602030710,430.82
202603070602030711,362.84
202603070602030712,389.22
202603070602030713,457.29
202603070602030714,470.95
202603070602030715,471.43
202603070602030716,165.14
202603070901050801,365.37
202603070901050802,390.26
202603070901050803,394.71
202603070901050804,410.69
202603070901050805,367.31
202603070901050806,398.56
202603070901050807,473.85
202603070901050808,409.65
202603070901050809,336.99
202603070901050810,452.61
202603070602030801,355.74
202603070602030802,416.57
202603070602030803,438.91
202603070602030804,315.73
202603070602030805,329.59
202603070602030806,435.68
202603070602030807,304.63
202603070602030808,409.93
202603070602030809,443.16
202603070602030810,419.51
202603070602030811,458.92
202603070602030812,427.1
202603070602030813,397.05
202603070602030814,447.47
202603070901050901,449.05
202603070901050902,422.98
202603070901050903,440.27
202603070901050904,373.42
202603070901050905,307.71
202603070901050906,386.94
202603070901050907,400.1
202603070901050908,414.3
202603070901050909,405.24
202603070602030901,387.16
202603070602030902,447.94
202603070602030903,364.58
202603070602030904,347.83
202603070602030905,347.11
202603070602030906,417.85
202603070602030907,379.64
202603070602030908,432.6
202603070602030909,427.56
202603070602030910,404.96
202603070602030911,390.86
202603070602030912,446.5
202603070602030913,405.4
202603070901051001,448.65
202603070901051002,373.19
202603070901051003,374.03
202603070901051004,437.0
202603070901051005,414.14
202603070901051006,440.1
202603070901051007,382.72
202603070901051008,387.25
202603070901051009,335.3
202603070901051010,459.97
202603070901051011,452.58
202603070901051012,392.87
202603070901051013,292.63
202603070901051014,457.57
202603070901051015,352.01
202603070602031001,368.05
202603070602031002,373.64
202603070602031003,391.03
202603070602031004,411.94
202603070602031005,402.15
202603070602031006,431.51
202603070602031007,444.58
202603070602031008,377.48
202603070602031009,293.56
202603070602031010,372.16
202603070602031011,481.9
202603070602031012,477.77
202603070602031013,463.36
202603070602031014,310.87
202603070901051101,492.15
202603070901051102,353.94
202603070901051103,434.03
202603070901051104,408.61
202603070901051105,415.29
202603070901051106,397.66
202603070901051107,459.07
202603070901051108,514.98
202603070901051109,373.99
202603070901051110,367.65
202603070901051111,406.43
202603070901051112,426.36
202603070901051113,359.31
202603070901051114,382.29
202603070901051115,303.05
202603070901051116,304.52
202603070901051117,327.25
202603070901051118,473.42
202603070602031101,389.81
202603070602031102,462.97
202603070602031103,399.75
202603070602031104,412.46
202603070602031105,390.91
202603070602031106,429.29
202603070602031107,468.4
202603070602031108,424.8
202603070602031109,310.52
202603070602031110,331.12
202603070602031111,379.81
202603070602031112,515.81
202603070602031113,296.25
202603070602031114,425.26
202603070602031115,373.05
202603070602031116,389.77
202603070901051201,349.24
202603070901051202,365.29
202603070901051203,429.83
202603070901051204,409.59
202603070901051205,420.65
202603070901051206,490.69
202603070901051207,472.12
202603070901051208,455.83
202603070901051209,337.63
202603070901051210,426.27
202603070901051211,372.93
202603070901051212,316.12
202603070901051213,389.69
202603070901051214,314.61
202603070901051215,473.71
202603070901051216,375.81
202603070602031201,390.25
202603070602031202,448.92
202603070602031203,435.28
202603070602031204,411.88
202603070602031205,464.74
202603070602031206,448.57
202603070602031207,403.83
202603070602031208,427.66
202603070602031209,340.86
202603070602031210,357.59
202603070602031211,351.51
202603070602031212,375.65
202603070602031213,329.66
202603070602031214,370.16
202603070602031215,459.85
202603070602031216,383.59
